Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
2/17/2015,$0.31,Quarter,2.80%,N/A,12/4/2014,2/19/2015,3/12/2015,Details,352.30B,"$89,193","$4,540","7,072.00",MSFT
11/18/2014,$0.31,Quarter,2.50%,+10.7%,9/17/2014,11/20/2014,12/11/2014,Details,369.39B,"$85,709","$4,612","27,017.00",MSFT
8/19/2014,$0.28,Quarter,2.50%,N/A,6/11/2014,8/21/2014,9/11/2014,Details,330.50B,"$88,425","$5,660","18,562.00",MSFT
5/13/2014,$0.28,Quarter,2.80%,N/A,3/12/2014,5/15/2014,6/12/2014,Details,301.98B,"$83,944","$6,558","9,655.00",MSFT
2/18/2014,$0.28,Quarter,3%,N/A,11/20/2013,2/20/2014,3/13/2014,Details,289.17B,"$80,672","$5,244","6,974.00",MSFT
11/19/2013,$0.28,Quarter,3%,+21.7%,9/17/2013,11/21/2013,12/12/2013,,295.21B,"$77,022","$4,965","24,576.00",MSFT
8/13/2013,$0.23,Quarter,2.90%,N/A,6/13/2013,8/15/2013,9/12/2013,Details,241.68B,"$74,483","$6,055","20,467.00",MSFT
5/14/2013,$0.23,Quarter,2.70%,N/A,3/12/2013,5/16/2013,6/13/2013,Details,228.25B,"$68,312","$6,377","11,731.00",MSFT
2/19/2013,$0.23,Quarter,3.30%,N/A,11/29/2012,2/21/2013,3/14/2013,Details,248.37B,"$66,644","$4,466","7,881.00",MSFT
11/13/2012,$0.23,Quarter,3.40%,+15%,9/18/2012,11/15/2012,12/13/2012,Details,255.27B,"$63,040",-$492,"29,321.00",MSFT
8/14/2012,$0.20,Quarter,2.70%,N/A,6/13/2012,8/16/2012,9/13/2012,Details,264.12B,"$59,529","$5,108","22,266.00",MSFT
5/15/2012,$0.20,Quarter,2.60%,N/A,3/13/2012,5/17/2012,6/14/2012,Details,237.12B,"$51,736","$6,624","13,421.00",MSFT
2/10/2012,$0.20,Quarter,2.60%,N/A,12/14/2011,2/14/2012,3/8/2012,Details,226.96B,"$57,403","$5,738","8,057.00",MSFT
11/15/2011,$0.20,Quarter,0.30%,+25%,9/20/2011,11/17/2011,12/8/2011,Details,226.72B,"$52,772","$5,874","24,639.00",MSFT
8/16/2011,$0.16,Quarter,0.30%,N/A,6/16/2011,8/18/2011,9/8/2011,Details,215.20B,"$50,150","$5,232","19,339.00",MSFT
11/4/2022,$0.23,Quarter,0.70%,N/A,10/27/2022,11/7/2022,11/10/2022,Details,2.201T,"$48,304","$20,721","111,443.00",AAPL
8/5/2022,$0.23,Quarter,0.60%,N/A,7/28/2022,8/8/2022,8/11/2022,Details,2.413T,"$48,231","$19,442","90,605.00",AAPL
5/6/2022,$0.23,Quarter,0.60%,+4.5%,4/28/2022,5/9/2022,5/12/2022,Details,2.675T,"$51,511","$25,010","69,815.00",AAPL
2/4/2022,$0.22,Quarter,0.50%,N/A,1/27/2022,2/7/2022,2/10/2022,Details,2.824T,"$63,913","$34,630","44,163.00",AAPL
11/5/2021,$0.22,Quarter,0.60%,N/A,10/28/2021,11/8/2021,11/11/2021,Details,2.376T,"$62,639","$20,551","92,953.00",AAPL
8/6/2021,$0.22,Quarter,0.60%,N/A,7/27/2021,8/9/2021,8/12/2021,Details,2.420T,"$61,696","$21,744","75,976.00",AAPL
5/7/2021,$0.22,Quarter,0.70%,+7.3%,4/28/2021,5/10/2021,5/13/2021,Details,2.239T,"$69,834","$23,630","56,975.00",AAPL
2/5/2021,$0.21,Quarter,0.60%,N/A,1/27/2021,2/8/2021,2/11/2021,Details,2.134T,"$76,826","$28,755","35,263.00",AAPL
11/6/2020,$0.21,Quarter,0.70%,N/A,10/29/2020,11/9/2020,11/12/2020,Details,2.024T,"$90,943","$12,673","73,365.00",AAPL
8/7/2020,$0.82,Quarter,0.70%,N/A,7/30/2020,8/10/2020,8/13/2020,Details,2.207T,"$93,025","$11,253","54,573.00",AAPL
5/8/2020,$0.82,Quarter,1.10%,+6.5%,4/30/2020,5/11/2020,5/14/2020,Details,1.647T,"$94,051","$11,249","39,867.00",AAPL
2/7/2020,$0.77,Quarter,1%,N/A,1/28/2020,2/10/2020,2/13/2020,Details,1.226T,"$107,162","$22,236","28,409.00",AAPL
11/7/2019,$0.77,Quarter,1.20%,N/A,10/30/2019,11/11/2019,11/14/2019,Details,1.395T,"$100,557","$13,686","58,896.00",AAPL
8/9/2019,$0.77,Quarter,1.50%,N/A,7/30/2019,8/12/2019,8/15/2019,Details,1.050T,"$94,614","$10,044","41,763.00",AAPL
5/10/2019,$0.77,Quarter,1.60%,+5.5%,4/30/2019,5/13/2019,5/16/2019,Details,22.74B,"$80,092","$11,561","32,127.00",AAPL
